用户编号：12
当前时间：2011-09-16T16:13:44:791
任务号:5,任务：学习
小组号:3,小组:第3组
视频名称:大头儿子小头爸爸
问题类型:Comprehension
*************************Tapestry***********************
ComprehensionStart:2011-09-16T16:15:53:566
ComprehensionDown:2011-09-16T16:17:49:457
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (415,730) 2011-09-16T16:14:03:852
MOVE: (412,730) 2011-09-16T16:14:03:860
MOVE: (408,731) 2011-09-16T16:14:03:868
MOVE: (404,731) 2011-09-16T16:14:03:877
MOVE: (400,731) 2011-09-16T16:14:03:884
MOVE: (394,732) 2011-09-16T16:14:03:892
MOVE: (390,732) 2011-09-16T16:14:03:900
MOVE: (386,732) 2011-09-16T16:14:03:908
MOVE: (380,733) 2011-09-16T16:14:03:916
MOVE: (375,733) 2011-09-16T16:14:03:924
MOVE: (369,733) 2011-09-16T16:14:03:932
MOVE: (362,734) 2011-09-16T16:14:03:940
MOVE: (356,734) 2011-09-16T16:14:03:948
MOVE: (349,734) 2011-09-16T16:14:03:956
MOVE: (344,734) 2011-09-16T16:14:03:964
MOVE: (338,734) 2011-09-16T16:14:03:972
MOVE: (333,734) 2011-09-16T16:14:03:980
MOVE: (328,734) 2011-09-16T16:14:03:988
MOVE: (324,734) 2011-09-16T16:14:03:996
MOVE: (319,734) 2011-09-16T16:14:04:4
MOVE: (312,734) 2011-09-16T16:14:04:13
MOVE: (306,735) 2011-09-16T16:14:04:20
MOVE: (299,735) 2011-09-16T16:14:04:29
MOVE: (292,736) 2011-09-16T16:14:04:36
MOVE: (285,736) 2011-09-16T16:14:04:45
MOVE: (277,736) 2011-09-16T16:14:04:52
MOVE: (271,737) 2011-09-16T16:14:04:60
MOVE: (265,738) 2011-09-16T16:14:04:68
MOVE: (260,739) 2011-09-16T16:14:04:77
MOVE: (254,740) 2011-09-16T16:14:04:84
MOVE: (250,741) 2011-09-16T16:14:04:92
MOVE: (244,741) 2011-09-16T16:14:04:100
MOVE: (241,741) 2011-09-16T16:14:04:108
MOVE: (236,742) 2011-09-16T16:14:04:117
MOVE: (231,742) 2011-09-16T16:14:04:126
MOVE: (226,742) 2011-09-16T16:14:04:132
MOVE: (220,743) 2011-09-16T16:14:04:141
MOVE: (215,743) 2011-09-16T16:14:04:148
MOVE: (210,743) 2011-09-16T16:14:04:156
MOVE: (206,743) 2011-09-16T16:14:04:164
MOVE: (202,743) 2011-09-16T16:14:04:172
MOVE: (199,743) 2011-09-16T16:14:04:180
MOVE: (196,743) 2011-09-16T16:14:04:188
MOVE: (193,743) 2011-09-16T16:14:04:196
MOVE: (189,743) 2011-09-16T16:14:04:204
MOVE: (185,744) 2011-09-16T16:14:04:212
MOVE: (180,744) 2011-09-16T16:14:04:220
MOVE: (176,744) 2011-09-16T16:14:04:228
MOVE: (173,744) 2011-09-16T16:14:04:236
MOVE: (169,744) 2011-09-16T16:14:04:244
MOVE: (166,744) 2011-09-16T16:14:04:252
MOVE: (163,744) 2011-09-16T16:14:04:261
MOVE: (159,744) 2011-09-16T16:14:04:268
MOVE: (156,744) 2011-09-16T16:14:04:277
MOVE: (152,744) 2011-09-16T16:14:04:284
MOVE: (148,744) 2011-09-16T16:14:04:292
MOVE: (145,744) 2011-09-16T16:14:04:300
MOVE: (142,744) 2011-09-16T16:14:04:309
MOVE: (138,744) 2011-09-16T16:14:04:317
MOVE: (135,744) 2011-09-16T16:14:04:325
MOVE: (132,744) 2011-09-16T16:14:04:332
MOVE: (130,744) 2011-09-16T16:14:04:341
MOVE: (127,744) 2011-09-16T16:14:04:348
MOVE: (124,744) 2011-09-16T16:14:04:357
MOVE: (121,744) 2011-09-16T16:14:04:364
